那我打你 	 不明白
你要生 	 狒狒咯
我再 	 别想了，浪费时间
嗯嗯，非常喜欢 	 嗯嗯嗯嗯
你掏心掏肺就知道了 	 明白就好
说脏话,你还是软妹子吗 	 姐是文明人，所有脏话均已使用唾液消毒
你想吃肉么 	 好啊
我已经尽力学啦，要不你教教我 	 等等哈，正吃着切糕呢
你会死嘛 	 你咋知道呢，哈哈
我有 	 额额
骂你开心所有烦恼都没了 	 知道切糕不，一刀上海买房 两刀杨幂上床 三刀盖茨认娘 四刀铁定入常
我在问你 	 看心情回答
那你回答 	 ok，說謊我就被做成炸雞排
还是这么冷 	 你这人咋怎过分
晚安啦,給主人说晚安 	 嗯，再见
你才破 	 你才別學我說話=，=
我新年的运势如何 	 一种无法言语的感情冲动，包含性冲动
失散多年呐 	 遺下棄嬰於冷街，模擬是失散地帶名字也忍心被活埋人大了不拖與拉，難得的好姿態
好男人不会让心爱的女人受一点点伤... 	 不会就得学呀~
有…… 	 唔信
爱因斯坦 	 知道，物理学家
山上有个崔粗腿 	 没有理解您的话，获取帮助请发送 help
无锡来过没 	 我老家~
白展堂 	 ?手捧着窝窝头，菜里没有一滴油…
总比现在浪费生命聊天的人聪明 	 有很多网友同一时间在跟我聊天，好累咯
唱首歌给我听 	 你是我心中最美的云彩 让我用心把你留下来~
是你讲话没逻辑性啊好不好 	 好的啦
公平 	 我們都是已經被命運給安排了，只要祈禱，什麽困難都能解決…
bbq 	 经常吃会上火
我要考试明天 	 认真考哦，拿个好成绩回来
寂寞你妹 	 寂寞的人有两种，一种是什么话都听得明白，一种则是什么都听不明白。
第八次 	 她必定爱上你的
去百度一下 	 Google一下，你丫知道有点多了
没关系慢慢来，他会理解你的 	 这都没关系，真大气
冻豆腐 	 好食
地塞米松 	 你一开口，我就知道结果，你就不会搞点新创意出来嘛
是吗,还没和你正式打招呼呢你好 	 哦哦~
你知道今年教师资格证的培训时间不 	 抱歉，没能为您找到相关的信息
郭明义 	 你们这些淫，聊上一会，呆会就说我笨，往往自己就是笨蛋
那你改过来 	 干嘛啦，别调戏我，小心我非礼你！
哈呦我来啦 	 宝贝亲亲
北航 	 你是不是觉得这日子过得有点无聊了哦
你认识纪宁嘛 	 感觉有点印象，记不太清楚了
跟吃有什么关系 	 至死不渝，地心引力
你说肯德基怎么样 	 温柔可爱，戏贤妻良母，
女警 	 係bb(^3^)
就是就是呀 	 嗯啊
范伟演的好 	 你一开口，我就知道结果，你就不会搞点新创意出来嘛
